img|desc
48154|Acipenser guldenstadth, Var. Schypa
38102|Achirus lineatus (Linnaeus)
45704|Achoerodus gouldii
48142|Acipenser glaber (Marsilius)
33643|Achirus Fasciatus La Cepede, M. le comte de (Bernard Germain Etienne de La Ville sur Illon), 1756-1825; American Sole or  La CeHog Chokere comt;(Right side)
33644|American Sole or  La CeHog Chokere comt;(Left side)
52315|Acestridium discus Haseman. Type
36069|Acerina Vulgaris (the Ruffle); Native of Britain
47981|Acerina schraetzer (Linnaeus)
47980|Acerina cernua (Linnaeus)
53393|Aceratias macrorhinus, d'apres Brauer (Valdivia)
45601|Acentronura australe
32903|Acanthurus Xanthopterus
32720|Acanthurus Vittatus; (Seweya)
42654|Acanthurus unicornis (Forskal). Kala
47096|Acanthurus leucosternum, Indian Ocean
41048|Acanthurus incipiens Jenkins, new species. Type
32698|Acanthurus Hirudo; (Kara-Hamooway)
42535|Acanthurus brevirostris (Cuvier & Valenciennes); after Gunther
47142|Acanthonus armatus
45605|Acanthopegasus lancifer
46907|Acanthure a pierreries; Acanthurus gematus
36041|Acanthistius vinctus
45544|Acanthidium quadrispinosum
38602|Acanthicus histrix. Fort St. Joaquim in the Distance
33356|Acantharchus Pomotis; Mud Bass; Mud Sunfish
39767|Abudefduf taupou Jordan & Seale. Type
51955|Abudefduf taupu Jordan & Seale. Type
39208|Abudefduf turchesius Jordan & Seale, new species. Type
51954|Abudefduf uniocellatus (Quoy & Gaimard)
39731|42485|Abudefduf sordidus (Forskai); after Ruppell
38063|Abudefduf saxatilis (Linnaeus). Cockeye pilot; Demoiselle; 'Chirivita'; 'Pintado'
35512|Abudefduf sapphirus, new species. Type
39676|Abudefduf metallicus Jordan & Seale, new species. Type
39748|Abudefduf leucopomus (Cuvier & Valenciennes)
39744|Abudefduf Coelestinus (Cuvier & Valenciennes)
39737|Abudefduf dicki (Lienard)
47431|Abudefduf jordani Seale
51953|39764|Abudefduf antjerius (Kuhl & Van Hasselt)
39721|Abudefduf amabilis (De Vis)
42484|Abudefduf abdominalis (Quoy & Gaimard); after Gunther
48087|Abramis vimba (Linnaeus)
48090|Abramis sapa (Pallas)
48094|Abramis bjorkna, var. Laskyr
48084|Abramis brama (Linnaeus)
48086|Abramis brama, var. Vetula (Heckel)
48088|Abramis elongatus (Agassiz)
48091|Abramis leukartii, Hybridid between Leuciscus rutilus and Abramis brama
48092|Abramis bjorkna (Blicca)
48095|Abramis bipunctatus (Heckel and Kner)
48089|Abramis ballerus (Linnaeus)
39088|Abraliopsis sp., young, ventral view; Representation of the photogenic organs is incomplete
47960|Aboma etheostoma
50942|"Spanish Pompano"; Gerres olisthostoma, Goode and Bean
50933|"Black Cod," Black "Candle-Fish," or Beshow; Anoplopoma fimbria (Pallas), Gill
37580|Codfish
34116|Leuciscus hydrophlox)
34246|Agosia nubila
39409|Zesticelus profundorum (Gilbert)
45622|Zeus faber
47470|Zezera rathbuni
51984|Zingel. Zingel zingel (Linnaeus). Danube River
41115|Zen itea (Jordan & Fowler)
42653|Zebrasoma flavescens (Bennett). Laipala
35473|Zaprora Silenus
42651|Zanclus canescens (Linnaeus). Kihikihi
45682|Zanclistius elevatus
33332|Zalocys Stilbe; Jordan; McGregor. New genus and new species.
47903|Zalarges Nimbarius
52191|Zacalles bryope Jordan & Snyder. Misaki, Japan
41321|Yukon River pike (Esox lucius)
47131|Young Trachypterus
51918|Young Swordfish, Xiphias gladius (Linnaeus)
47036|Young Sword-fish (Histiophorus). South Atlantic. (Magn.)
47037|Young Sword-fish (Histiophorus). Mid-Atlantic
47035|Young Sword-fish (Histiophorus). Atlantic
37883|Young Sterlet, Two Months Old, viewed from above....from beneath
46091|Young Painted Ray and Egg
35170|Young of Sword-Fish, 37 mm long; Facsimile of figure in Lutken's Spolia Atlantica
35171|Young of Sword-Fish, 12 inches long; Facsimile of figure in Cuvier & Valenciennes' Histoire Naturelle des Poissons
49610|[Sea-Trout Scale] 9 lbs. Coquet, 25th July 1907
49551|[Salmon Scale] 18 lbs. 20th August 1907. Marked as Smolt May 1905
32610|[Newly Hatched Salmon]; Left Side of the Fish; Right Side of the Fish
46097|Ox Ray
49690|2-lb. Rainbow Trout, four years old, caught at Battleby Loch. August 1904
49676|2-lb. Grayling, from the River Isis, Perthshire. October 1908
49682|2-lb. Perch (Perca fuviatilis). River Earn, Feburary 1900
