img,desc,source,weight
https://photolib.noaa.gov/Portals/0//GravityImages/4351/ProportionalFixedWidth/figb032048525x800x800.jpg,"Plate 62. The Common Hake. Phycis chuss (Walb.), Gill. The Squirrelor White Hake. Physcis tenuis (Mitchell), De Kay. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4352/ProportionalFixedWidth/figb032148525x800x800.jpg,"Plate 63. The King Hake. Phycis regius (Walb.), Gill. Earl's Hake. PhycisEarllii, Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4353/ProportionalFixedWidth/figb032248525x800x800.jpg,"Plate 64. Chester's Hake. Phycis Chesteri. Goode and Bean. The Blue Hake.Haloporphyrus viola, Goode and Bean. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4354/ProportionalFixedWidth/figb032348525x800x800.jpg,"Plate 65. The Merluccio. Merlucius productus (Ayres), Gill. The Silver Hakeor New England Whiting. Merlucius bilinearis (Mitch.), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4355/ProportionalFixedWidth/figb032495543x800x800.jpg,"Plate 66. The Sand Cusk. Ophidium marginatum, De Kay. The Lant or Sand Eel.Ammodytes americanus, De Kay. The Onion Fish or Grenadier. Macruris rupestris, (Muller), Block. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4356/ProportionalFixedWidth/figb032595543x800x800.jpg,"Plate 67. The Mutton-Fish. Zoarces anguillares (Peck), Storer. Vahl's Lycodes. Lycodes Vahllii, Reinhardt. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4357/ProportionalFixedWidth/figb032695543x800x800.jpg,"Plate 68. The Common Catfish or Wolf-Fish. Annharicus lupus, L. The SpottedCatfish. Annharicas minor, Olafsen. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4358/ProportionalFixedWidth/figb032795543x800x800.jpg,"Plate 69. The Gulf Toadfish or Sapo. Batrachus pardus, Goode & Bean. TheNaked Star-gazer. Astrocopus anoplus (C.V.), Brevoort. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4359/ProportionalFixedWidth/figb032895543x800x800.jpg,"Plate 70. The Lump-Fish. Cyclopterus lumpus, L. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4360/ProportionalFixedWidth/figb032995543x800x800.jpg,"Plate 71. The Sea-Robin or Wing-Fish. Prionotes palmipes (Mitch.), Storer.The Striped Sea Robin. Prionotus evolans (L.), Gill. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4361/ProportionalFixedWidth/figb033095543x800x800.jpg,"Plate 72A. The Northern or European Sculpin. Cottus scorpius, L. ","
NOAA Photo Library",3
https://photolib.noaa.gov/Portals/0//GravityImages/4362/ProportionalFixedWidth/figb033195543x800x800.jpg,"Plate 72B. The Common Sculpin. Cottus scorpius, L., subsp., Groenlandicus(C. & V.), Bean. ","
NOAA Photo Library",3
