"img","source","desc"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0283.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0286.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0289.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0290.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0294.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0295.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0299.jpeg","Zoologica Vol. XII","New species of deep-sea fish"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0326.jpeg","Zoologica Vol. XII","Remora remora"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0327.jpeg","Zoologica Vol. XII","Remora remora"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0329.jpeg","Zoologica Vol. XII","Remora remora"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0330.jpeg","Zoologica Vol. XII","Remora remora"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0332.jpeg","Zoologica Vol. XII","Remora remora"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0362.jpeg","Zoologica Vol. XII","Shore fishes of Bermuda"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0374.jpeg","Zoologica Vol. XII","Deep-sea isospondylous fishes, two new genera and four new species"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0377.jpeg","Zoologica Vol. XII","Deep-sea isospondylous fishes, two new genera and four new species"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/zoologica/12/zoologica121319291934newy_0378.jpeg","Zoologica Vol. XII","Deep-sea isospondylous fishes, two new genera and four new species"
