desc,source,img
Canning fish in BC. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/0/f/0f4c7e5b5ab8be03ed8932050362c6af2fd626508cab279f88880776380c9c0b/d-08901_141.jpg
Unloading fish for canning. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/4/e/4ea133aea6645e9eca64c14ef2a375997bbf37e3b44186c08e084edf1d89df50/d-08914_141.jpg
BC fish cannery. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/5/e/5ed09b7dc123ce97c96187e50acae6c431a10dbe4bf69275b63a6f97a52eca9d/e-05077_141.jpg
"""Cowichan River and salmon weirs"" ",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/1/9/19d26095d566c969def875b5e3b846ebd221e7f5e08880759598c7a5f80c32ea/d-03689_141.jpg
"Fish boat builders, Columbia River type [ca. 1912]",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/6/e/6e790ce16f5d81d94d8f5e36ca14856286790d2ed1e310e26f3641258ef22d17/e-08700_141.jpg
Smoke houses in an Indian village on the Babine River 8614,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/1/a/1a4230fdfb0298c41f4212fbb750e7a4653c4e4f5cc3ca69314f53e6f88699cc/i-33782_141.jpg
Cowichan Fish Hatchery At Cowichan Lake. 1915,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/8/8889236c91efa58dc1c8a4faad1958b5ac234c378d5f85f703454d2ec5ff0d10/a-07226_141.jpg
Kitkatla; Mrs. Reuben Mason Drying Fish Eggs. [ca. 1947],Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/2/0/20fb83c0c8a004d33a5a445c04eba9da270f03032ec78164627809b82b9e3877/b-00025_141.jpg
A scowload of fish at the Sooke cannery. 1906,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/b/7/b797c53b896d9fa5b51302f899fe44187a1d5d1a1d7981055ecffcadb90a79a3/g-06248_141.jpg
"Fish-drying racks on the beach, Skidegate, Queen Charlotte Islands [191-]",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/a/3/a319cc3f9039fe0027c217ab584e5285a90e5b97765da10451f4a7a2429d77f8/a-06147_141.jpg
"Commander Redhead of HMS Kent and party at the Cowichan Fish Hatchery, Cowichan Lake. 1915",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/5/e/5e3895aad62743883bdfe6c5070e267571f5fe4dee2b2829ee261bf4396b526d/a-07210_141.jpg
Fraser River Fish Hatchery; Stripping Salmon Of Their Eggs. [189-],Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/0/1/0150505c555615c9ab71313b71129ad6b66ed0c9ed88df1b202d7fdac629eedb/a-03957_141.jpg
Seton Lake Salmon Weir 1911,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/6/0/60ef3cb94a0b03e65ae45f7e5f78c9a364ea29c157bc7ad0ede48a2af282f93c/a-03965_141.jpg
Fish camp at the government wharf in Sooke. 1924,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/3/d/3db1cfbd94c454f60731ba9cae2c554dae13712d6e87ab875b2b4a11a9aff7f7/e-02399_141.jpg
"""Fish patrol plane, Prince Rupert, BC."" ",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/4/4/4489177d72fdcf4a1337c2d5be470af600017a2181174b04834fb4b2fe0995a9/f-04782_141.jpg
Fish camp at Sooke; pile driver has been hauled out of the water for the winter. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/4/845d71bf37dbb2c8918caf04d74dbf935c2b90a94247c9ae25be06748dd43611/e-02398_141.jpg
Trap for salmon at the outlet of Anderson Lake 1903,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/5/9/59da6763732fef1f40869de7c503fd61bae2dafb4aa270308774a8e00a9e23b6/g-02515_141.jpg
Fish and Game barbecue near Whitehorse. 1955,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/7/3/7335f4852d8880107c5857fd05cc68892b1fbf574a8bd3e6a47d6520dbf7b746/d-02157_141.jpg
Fish caught by S.H. Patinaude. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/3/c/3c800dbadd3a9813e314b6154b495c28eeac44d27dcaed85d8635d5434d39443/b-01193_141.jpg
Fish Cannery At Namu 1916,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/9/7/972aff227b232c37351d645cb5286d25105e0bec7fab3781d4f999008217fad8/c-04951_141.jpg
Hatchery 1914,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/9/4/9432cb4147e7e54eae37cb23322ceaae19cf5fa86b8f009e40e195dd1add53c2/h-01306_141.jpg
Klootchman smoking salmon near Pavilion [ca. 1910],Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/3/7/379f4539a84a2bcacc9aac35cde0221b5cf34a7c54e73c9d22e956a9db5c8fae/a-03963_141.jpg
Taft fish hatchery. [191-],Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/1/9/197bc44ab5656bafae8c7bab91345f436829cc7b1b79ef484b21395d0231fc26/b-05723_141.jpg
Sooke fish traps. [1908],Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/5/8/58963267b0a60e497c138a6b5b9770e8256e0c085788b7145655772d299c7ddc/b-03640_141.jpg
Inside of fish drying house 1901,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/d/b/db17ad83002634de325fd123747a185390d63a27f4f61e451ef62f0ffc2f1911/e-08443_141.jpg
Fisherman with catch 1936,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/e/c/ece4ce8d7edd5ed6aaabec75f8737da3856e92fd79c6a33f703c54373ef70f28/i-29651_141.jpg
"Salmon catch, Painter's Landing 1945",Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/8/f/8f576183ad77f72e73e72be27588ea7d686ff625fdc52948422fb8d5f63070c2/i-29965_141.jpg
Unidentified BC fish cannery. ,Royal British Columbia Museum Archives,https://search-bcarchives.royalbcmuseum.bc.ca/uploads/r/null/e/8/e878953f6d475a6f79e69c9836b3509a41aa105cea804e7012259536a34daca9/c-08020_141.jpg
