"img","desc","source"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/32.jpg","Thorvald Svendsen Collection, Bella Coola 1920's","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/33.jpg","Betty Sangster Collection, Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/34.jpg","Betty Sangster Collection, Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/35.jpg","Fishing fleet moored at Tallio Cannery [1931], Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/36.jpg","Moored fishing boats crowded together, Rene Morton Collection, Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/37.jpg","Moored fishing boats crowding together, Rene Morton Collection, Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/38.jpg","Small fishing boats being towed, M.F. MacDonald, Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/39.jpg","Small fishing boats being towed, M.F. MacDonald, Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/40.jpg","Fishing boat, M.F. MacDonald, Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
"https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/bellaCoola/41.jpg","Powered boat towing line of small fishing boats out to sea, Widsten Photo Albums, Bella Coola","Bella Coola Valley Museum, B.C. Central Coast Archives"
